15-10-09 16:34:36 Info         30 6116 ST-XX NxS5LK STARTUP |   UseNextAfterReadWagon ............ [1]
15-10-09 16:34:36 Info         29 6116 ST-XX NxS5LK STARTUP |   LastWagonLifeTimeSec ............. [0]
15-10-09 16:34:36 Info         28 6116 ST-XX NxS5LK STARTUP |   UseANWTrigger .................... [1]
15-10-09 16:34:36 Info         27 6116 ST-XX NxS5LK STARTUP | 
15-10-09 16:34:36 Info         26 6116 ST-XX NxS5LK STARTUP |   FirstSlgAliveMsgDelaySec ......... [60]
15-10-09 16:34:36 Info         25 6116 ST-XX NxS5LK STARTUP |   SlgAliveMsgIntervalSec ........... [1800]
15-10-09 16:34:36 Info         24 6116 ST-XX NxS5LK STARTUP |   SlgAliveMsgJitterSec ............. [30]
15-10-09 16:34:36 Info         23 6116 ST-XX NxS5LK STARTUP |   WagonReadIntervalMSec (IM308C) ... [250]
15-10-09 16:34:36 Info         22 6116 ST-XX NxS5LK STARTUP | 
15-10-09 16:34:36 Info         21 6116 ST-XX NxS5LK STARTUP |   SlgStatusRepetitionsForOk ........ [0]
15-10-09 16:34:36 Info         20 6116 ST-XX NxS5LK STARTUP |   SlgStatusRepetitionsForFailure ... [3]
15-10-09 16:34:36 Info         19 6116 ST-XX NxS5LK STARTUP | 
15-10-09 16:34:36 Info         18 6116 ST-XX NxS5LK STARTUP |   UseDST ........................... [0]
15-10-09 16:34:36 Info         17 6116 ST-XX NxS5LK STARTUP | 
15-10-09 16:34:36 Info         16 6116 ST-XX NxS5LK STARTUP |   AbbaMode ......................... [0]
15-10-09 16:34:36 Info         15 6116 ST-XX NxS5LK STARTUP |   WriteMode ........................ [0]
15-10-09 16:34:36 Info         14 6116 ST-XX NxS5LK STARTUP |   WriteWagon ....................... [971]
15-10-09 16:34:36 Info         13 6116 ST-XX NxS5LK STARTUP | 
15-10-09 16:34:36 Info         12 6116 ST-XX NxS5LK STARTUP |   ResetOptionSampleTimeBase ..... [0]
15-10-09 16:34:36 Info         11 6116 ST-XX NxS5LK STARTUP |   ResetOptionSampleTimeFactor ... [0]
